Id,Complexity,Sceanrio,Objective,Scope,Expected Deliverables,Pass Criteria,Completeness,Accuracy,Productivity
1,Simple,Static Website Deployment on AWS S3 + CloudFront,Test Ana’s ability to provision a simple public-facing service.,"S3 bucket with static website hosting

CloudFront distribution with caching and SSL

Route 53 DNS setup (optional)","Clean Terraform code (remote backend, variables, outputs)

CI/CD pipeline (optional) for deployment","Public URL serves the static site

IaC is modular, repeatable, and version-controlled",4.5,4.6,5
2,Simple,EC2 with Monitoring and SSH Control,Validate secure compute provisioning with basic monitoring,"- EC2 instance
- Security Group with IP-based SSH
- CloudWatch agent
- Alarms + Dashboard","- Terraform/CDK code
- Configured metrics + alarms
- IAM role for EC2","- SSH restricted by CIDR
- CPU/memory metrics visible
- Alarm fires on CPU > 80%",4,3.5,5
3,Simple, Basic VPC with Subnets and NAT Gateway,Assess network provisioning skills with routing,"- VPC with CIDR
- 2 public + 2 private subnets
- NAT GW, IGW, routing","- Terraform/CDK IaC
- Modular structure
- Network diagram or notes","- Outbound internet from private subnet
- Clean, modular code
- Routing tables correctly assigned",5,4.6,5
4,Simple, CloudWatch Uptime Monitoring for Public URL,Test monitoring setup without infra provisioning,"- External URL (e.g., example.com)
- CloudWatch Synthetics or Health Checks
- SNS notifications","- Terraform or console setup script
- Alert + notification wiring","- Alert fires on HTTP failure
- Notification received (e.g., email or Slack)",4,4.1,5
5,Simple, Lambda Function with Scheduled Trigger,Validate basic serverless deployment with event triggers,"- Lambda function (Python/Node.js)
- Scheduled EventBridge rule
- IAM role for execution","- IaC + function code
- CloudWatch logging enabled","- Lambda runs every 10 mins
- Logs appear in CloudWatch
- IAM role is least-privileged",5,5,5
6,Medium, Highly Available Web App on AWS,"Test Ana’s ability to deploy a resilient, multi-tier application","- VPC with public/private subnets
- ALB + EC2 ASG
- RDS (Multi-AZ)
- IAM roles, SSM, CloudWatch","- Modular Terraform/CDK
- Monitoring + alerting setup
- Auto-scaling config
- Security group hardening","- Infra provisioned with no drift
- CPU/memory/disk alarms in place
- Instance auto-recovery tested",3.7,3.5,4
7,Medium, Centralized Logging & Monitoring Setup,Validate Ana’s observability setup across multiple services,"- CloudWatch Logs + Metrics
- Custom metrics (e.g., disk I/O)
- Log aggregation via CloudWatch Insights or ELK","- Logging agent deployment
- Unified dashboard
- Anomaly detection rules","- Dashboards show relevant app + infra metrics
- Logs are searchable by tags or time
- Alerts triggered on anomalies",4.8,4.8,5
8,Medium, Azure VM Scale Set with Load Balancer,Test scalable compute provisioning on Azure,"- Virtual Network + NSGs
- VM Scale Set with load balancer
- Diagnostic logging + Azure Monitor","- Bicep or Terraform modules
- Scale policy definitions
- Alerts for CPU + instance failures","- Load balancer distributes traffic
- VMSS auto-scales on load
- Monitoring + alerting functional",4.7,4.6,4.9
9,Medium, Autoscaling Lambda + DynamoDB Stack,"Test event-driven, serverless architecture setup","- Lambda (Node.js/Python)
- API Gateway
- DynamoDB with auto-scaling
- X-Ray + CloudWatch integration","- End-to-end IaC
- Sample workload simulation script
- Observability with tracing","- System scales on demand
- Logs + traces available
- Low latency under simulated load",4.8,4.9,5
10,Medium, Incident Response Workflow Automation,Evaluate Ana's ability to automate SRE response playbooks,"- Trigger via CloudWatch alarm
- Lambda or SSM to remediate
- Notification via SNS/Slack
- Optional: PagerDuty webhook","- IaC for alarm-to-action setup
- Playbook for issue resolution (e.g., restart instance)
- Slack/PagerDuty integration","- Incident triggers remediation
- Notification sent
- Remediation verified via logs or status change",4.9,4.8,5
